## DECISION (576)
KEY                                                                 TIER   N  IN  DATE        MESSAGE
rendering/visibility-as-gate                                        high   1  11  2026-03-19  Fidelity.visible gates which concern layers render in the fold lens. Depth controls disclosure within each gated layer. Without a visibility flag, the layer is absent regardless of depth. With it, depth dials from badge (MINIMAL) through inline expansion (DETAILED) to full payload (FULL). Three initial layers: refs (structural connections), facts (temporal history), ticks (boundary rhythm). They compose because they are orthogonal dimensions of the same items. Partial dissolution: stream becomes read --facts organized by fold position.
design/cite-as-attention-signal                                     high   1  11  2026-04-24  Citation as attention signal. Syntax: loops cite VERTEX REF1 REF2 ... [--context NAME]. Positional refs become a single comma-separated ref= payload. Kind=cite is a collect-fold declared per vertex (items collect 0 = unbounded). The command is a thin wrapper translating to emit VERTEX cite ref=R1 ref=R2 ... then delegating to _run_emit. Lenses skip cite in display via _SKIP_KINDS but _compute_inbound_refs still iterates it for salience contribution. Vocabulary choice: cite over ping. During design sessions the references aren't presence signals, they're citations — prior work informing current work. 'I cited design/lens-is-the-interface while building session_landing' is semantically accurate; ping isn't. Dissolves into: emit, collect-fold, atoms/refs-on-any-fold, derived-keys-as-focus-filter. Supersedes design/ping-as-attention-signal.
design/peer-grant-extension-not-greenfield                          high   1  11  2026-05-13  Decision (from Explore findings 2026-05-13): engine.Peer/Grant exist in libs/engine/src/engine/peer.py with shape Peer(name, horizon, potential) + Grant(horizon, potential) + grant/restrict/delegate operations + 20 passing tests. horizon=read-constraint, potential=emit-constraint, both frozenset[str] of kinds. This IS the generic substrate version of vouch's scope and sqlmerge's slice — per-vertex specializations live in payload, not in engine. Concrete additions are SMALLER than greenfield framing: (1) add iss to Peer, (2) lift Grant from in-process object to kind=grant Fact with envelope+payload, (3) parent_ref chain semantics, (4) extract receive-gate to VertexPolicy interface, (5) chain_walk + grants_for helpers. The in-process Grant becomes the payload of kind=grant Facts; existing delegate() becomes 'emit Fact with parent_ref'; vertex.receive gate logic moves into VertexPolicy.verify_emission. Solo work unchanged (permissive default policy preserves current behavior). The work is EXTEND not BUILD.
design/sign-on-emit-verify-on-receive                               high   1  11  2026-05-16  Verdict 2026-05-16: signing is constitutive of emit, verification is constitutive of receive — both run by default for vertices with verification policy configured. No separate auth_emit/gated_receive wrapper pair. The signature lives on the Fact atom (Fact.signature, structural per design/attestation-substrate-with-progressive-policy) and is part of the fact's structural identity. Sign uses observer's key (vertex bootstrap generates one at init); verify uses Peer.key from local registry (federated-trust path adds vouch credential lookup per-fact for non-local observers). Verification policy per-vertex (strict/lenient/legacy-accept). Replaces the integration-point framing of design/auth-emit-and-gated-receive-as-wire-identity-translation — there are no separate integration points, just emit and receive doing their constitutive work. OPEN: does engine import vouch directly or does vouch register verifier callback? Affects whether engine has vouch in its dependency graph. Owed in substrate session.
atoms/n-on-fold-item                                                high   2   9  2026-03-19  Implemented. Upsert folds track _n per key, FoldItem carries n:int, reconstructed identically on replay. Four touches: FoldItem field, _make_upsert increment, _dict_to_fold_item extraction, fold lens sort+display.
design/lens-declares-fetch                                          high   3   8  2026-04-24  Lens modules may export a fetch callable alongside their view function. When present, the CLI uses the lens-declared fetch instead of the default command fetch. Signature: fetch(vertex_path, **kwargs) -> Any — returned value is the data shape the lens's view function consumes. Pure-lens convention preserved: view function stays (data, zoom, width) -> Block; IO lives in the separate fetch callable. First consumer: session_landing (composes FoldState with tuple[TickWindow, ...]). This is the concrete shape of lens-is-the-interface: lens owns complete I/O contract, not just rendering. Implementation touched: rendering/fold-palette (reused), atoms/n-on-fold-item (item.n for salience), rendering/n-aware-fold-lens (salience-descending sort pattern).
design/loops-as-substrate-not-host                                  high   1  10  2026-05-13  Decision (reframe per Kyle 2026-05-13): loops is the substrate these consumers (sqlmerge, comms, pile, vouch, siftd) are approximating, not a host that accommodates them. The work is completing the substrate so they can stop approximating. Implications: (1) iss is trust-domain BOUNDARY, not Peer metadata — the policy join point where same-iss=intra-domain, cross-iss=federation, unknown-iss=rejected; (2) transport is SUBSTRATE — loops ships the contract (authenticated tick-stream + grant-bound slicing), consumers ship the wire (SSH, HTTP, MCP, etc.); (3) .vertex/KDL is 80%-case convenience, NOT ceiling — extensibility floor stays at Python (VertexPolicy classes, Transport implementations), KDL is one elevation above. Stops migration-shaped thinking; the consumers are loops-shapes at varying fidelity. iss stays opaque-string at data layer; structure goes into VertexPolicy machinery (resolver, trust-assessor, cross-iss chain handling). Peer/Grant were aspirational; this is the concretization.
design/credential-is-grant-in-envelope                              high   4   7  2026-05-16  REFINED 2026-05-16 (fourth position, per-fact-validation correction from advisor + attestation-walk scope-narrowing): credential dissolves to (Identity + wire-Grant) + binding envelope + signature, validated PER-FACT for federated observers (NOT cached after first verification — credential expiration must be checked each time; cached-key-without-expiration would be a security regression). Envelope/signature structural claim intact. vouch.verify returns Identity + wire-Grant — a wire-Peer, not a substrate-Peer. The substrate's Peer for that identity is fetched from vertex-local config using Identity.name as lookup. PRIOR CORRECTIONS preserved: (3rd pass) no AudienceConfig — verifier holds trusted-key config (jwks_urls); Issuer holds signing identity; audience parametric on calls. NEW CORRECTION (this pass): vouch is the federated-trust path INSIDE attestation (per design/three-layer-auth-composition + design/attestation-as-different-ops-sharing-name), NOT 'the attestation layer' itself. Direct-trust observers (local Peer.key registered) bypass vouch entirely — emit signs, receive verifies against Peer.key directly. Vouch loads only when receive encounters an observer not in local Peer registry. Vouch's job: per-fact key-discovery + authority-bridge for federated case.
paradigm/tick-as-weighted-fact                                      high   1   9  2026-03-19  A Tick is not a summary of facts. It is a fact that carries its own density (how many observations compressed) and depth (full fold structure as payload). When it re-enters as input to the next level, that weight is just data — observable, foldable, attendable. Same primitives, one level up. This is why the strange loop works without new mechanisms at each level.
design/fact-signing-enforcement-deferred                            high   1   9  2026-06-13  Kyle ratified 2026-06-13: DEFER the fact-signing require-on-emit gate AND verify-on-receive to the transport/peer era; make DISCLOSURE honest first. Dissolution reasoning: require-on-emit with no verify-on-receive buys only a locally-complete ledger so verify/disclosure can claim all-post-era-keyed-facts-signed — enforcement in service of disclosure, not of a receiver; no untrusted cross-store receive path exists yet, so build the gate when something is on the other side of it. Counter weighed and overridden for facts: the tick-side delta-2 posture (signing is structural from this point forward) would extend down to facts for a clean-from-here ledger that makes eventual verify-on-receive cheap; rejected now because the clean-ledger benefit is disclosure-facing and achievable instead by honest disclosure of the opportunistic reality, and fact-signing is per-observer/opportunistic vs ticks vertex-self-signed at a single funnel. Net: signing stays opportunistic-on-emit + audit-on-demand (store verify); the require/verify layer reactivates when transport/peer gives verify-on-receive a consumer.
paradigm/three-shapes-recursive                                     high   1   8  2026-03-19  The three shapes (observation, accumulation, attention) apply recursively. The data trifecta is not new axes — it is the three shapes applied to attention itself. Observation of attention: n (count of facts at a key). Accumulation of attention: refs (connections between positions). Attention on attention: the system attending to its own attention patterns to determine salience. The renderer trifecta (visibility x depth x density) is the same recursion in display space. The gripping hand in each trifecta is the recursive step.
architecture/vertex-as-complete-contract                            high   2   7  2026-03-25  SUPERSEDED by architecture/loop-as-runtime. The vertex is not the complete I/O contract — the loop is. Sources, fold, boundary, operations attach to loops. Vertex is a named convergence loop with a store.
design/grant-is-structural-primitive-applied-per-layer              high   1   8  2026-05-16  Resolution from 2026-05-15 vocabulary walk (scope↔potential under validator-lambda lens): Grant (horizon + potential) is a structural primitive — a shape that says 'what's visible, what's actionable.' It applies at multiple layers, each with its own vocabulary. Wire-Grant (in credentials): horizon=readable actions, potential=invocable actions; vocabulary is action-shaped (provision-domain, push-facts); issued by vouch, scoped to audience. Substrate-Grant (in engine.peer): horizon=visible kinds, potential=emittable kinds; vocabulary is kind-shaped (domain.provisioned, validator.result); configured per-vertex. SAME STRUCTURE, DIFFERENT VOCABULARY. They do not translate to each other. Linked by identity (observer-name appears in both layers) and nothing else. The dissolution-test for scope↔potential resolved by SEPARATION, not unification — sometimes the dissolution is to recognize sibling applications of a primitive, not to merge them. Caught 2026-05-15 by Kyle pushing the validator-lambda walk past the easy-merge framing.
design/surface-architecture-pared-to-keystone                       high   1   8  2026-06-27  Stress-tested architecture (2026-06-27). Core: a frozen Surface value (flat ordered Rows + per-kind KindView render-hints + a Window provenance record) interposed at the dispatch seam between fetch and render. A Row = a FoldItem plus materialized inbound/salience + an address; built ~1:1 from atoms. All ops (search/filter/select/budget/count/whole) are typed transforms on the Surface BEFORE either encoder runs; render(plain/styled) and to_dict(json) are the last optional step -> json/plain parity. Net-new is SMALL (one painted-free surface.py + the four salience helpers LIFTED from fold.py byte-for-byte); most pains close via dissolution/re-bind. The keystone survives the dissolution test for ONE precise reason: json/plain parity + server-side projection need a structured intermediate that is neither FoldState nor Block; a few flags cannot serve that. STRESS PARED BACK (build ahead of measured need): SHIP keystone + render-only encoders + eq-only predicate + emit grammar fixes + retract; DEFER views{}-as-data authoring framework, neq/prefix operators, Tier-C transform modules, gc/migrate, interactive TUI -- all behind observed demand. Full design: docs/dev/structured-surface-architecture-2026-06-27.md.
design/presentation-register-keys-on-channel                        high   1   8  2026-06-29  Dropping the truncation budget from human reads forced a decouple: width=None now means "no truncation" on BOTH channels, so `width is None` could no longer serve double-duty as the piped-vs-human signal (it had silently conflated truncation-policy with presentation-register). Split them: width:int|None = truncation policy; explicit piped:bool = presentation register (terse `## KIND (N)` for pipes vs friendly `Threads (N):` for humans). fold_view gains a `piped` kwarg; dispatch carries it via render_context={piped: not ctx.isatty} — channel = isatty, the one honest signal. Direct/legacy callers (autoresearch re-export, identity_prompt, goldens) omit it and fall to the old width-is-None proxy (back-compat, zero golden drift). Sole Operation render site is fold.py:543 (emit is render_lens=None) so no sibling path misses the flag. Shipped c4db11f, 1504 green + 3-case guard. The conflation was the bug; the fix is one explicit flag replacing an overloaded proxy (explicit-over-implicit).
design/roadmap-060-static-honest-wave                               high   1   8  2026-07-02  RATIFIED (Kyle 2026-07-01): 0.6.0 = the STATIC-HONEST WAVE — Static TTY grammar unified across read/stream/ticks + the lens views that are pure functions over what exists (Horizon, Graph, Strata, Confluence, Provenance-as-why-drill: traversal/aggregation only, no cursor, no event loop). Covers the main case by far; still substantial design work against what exists now. 0.7.0 = everything needing design+discussion: TUI shell + shared temporal cursor (Rewind/Watch as ONE abstraction), gated on the internal table landing FIRST (rewind ships honest, never facts-through-today's-ontology — the responsible ordering; SPEC section-9.3). Digest last regardless (non-deterministic summarization + cross-vertex WRITE path — first concrete in-repo Peer/Grant consumer, own design pass). Corrections to prior framing: painted ALREADY HAS the interactive substrate (event loop etc., available now) — no upstream build gate; the TUI mocks are mocks, but the questions they raise drive refinement. Corpus: ~/Downloads/'Terminal UI for loops' (9 lens studies + shell + Static TTY + 7 palettes, all at 4 fidelity levels).
design/060-view-sequence                                            high   1   8  2026-07-02  RATIFIED (Kyle 2026-07-02): 0.6.0 build order = SPINE FIRST (rail+card grammar, register split everywhere, Surface tree-cut staging, shared time vocabulary, cross-command golden), then views by data-readiness: (1) Confluence — observer×kind matrix ~free via existing fact_observer_stats, study's own pick; (2) Graph — hubs/orphans re-project Surface.inbound_edges, chains=longest-path over _walk_refs, first view making typed-edges visible; (3) Provenance/why — new replay-with-field-tracking layer + key-scoped fact query, drill renders into every lens so grammar must be settled; (4) Horizon — new Spec.boundary-join projection, value concentrated in operational/boundary-rich vertices (hlab) not memory-fold design vertices; (5) Strata — DESIGNATED CUT: needs net-new recursive tick-tree assembly (no stored parent pointer), slips to ride 0.7.0 substrate work if needed. Shipping policy: a view ships when -q/default rungs are HONEST; expensive upper rungs (Confluence -v relay, Horizon -v ETA, Provenance -vv chain audit, Confluence -vv potential [needs unpersisted Peer/Grant data]) are NAMED fast-follows, not gates — ladder semantics never change meaning, upper rungs arrive as depth. Per-view design discussion happens at each view's build entry, not upfront.
rendering/n-aware-fold-lens                                         high   1   7  2026-03-19  Implemented. By-fold items sort by n descending in default fold lens. Items with n>1 show multiplication sign suffix. High-touch items surface first, single-touch items sink. FULL zoom shows _n in metadata section.
rendering/ticks-reorganize-fold                                     high   2   6  2026-03-20  EVOLVED: Original design was 'reorganize fold items by temporal windows.' Through iteration, dissolved into something different: ticks as the output perspective. The fold reorganization is available via --ticks --facts (items within windows) but the default --ticks is a vertex metadata dashboard. The reorganization was reaching for the right thing but from the wrong direction — starting from facts (input) instead of tick metadata (output).
rendering/ticks-output-perspective                                  high   1   7  2026-03-20  --ticks shows the output perspective, not a reorganized fold. The fold shows accumulated input (facts through specs). Ticks show the output (boundary snapshots with computed metadata). Default --ticks = vertex dashboard: compression bars, ref graph, density sparkline, current period. --ticks --facts drills into items within windows. --ticks -v adds per-tick breakdown. This is fundamentally different from the fold lens with a different grouping axis — it's a different rendering concern entirely.
atoms/refs-on-any-fold                                              high   1   7  2026-04-24  Extends atoms/refs-on-fold-item from upsert-only to all fold types. _make_collect now extracts ref= payload field into per-item _refs (comma-split, set semantics within a single fact), matching _make_upsert's behavior. Each collect-fold entry carries its own refs; no cross-item accumulation like upsert's set-union (collect items have no identity to merge on). FoldItem.refs is populated via _dict_to_fold_item for both fold types. Enables collect-fold kinds (ping, message, log) to contribute to inbound ref counts in lenses — previously their ref payloads were never extracted.
